scenario,spx_ret,idx,expiry,strike,type,qty,tenor,fwd,fwd_shocked,vol,vol_source,vol_shocked,base_price,price_vol_fixed,price_vol_shocked,pnl_vol_fixed,pnl_vol_shocked
-40%,-0.4,0,2026-10-21,20,C,100,33,17.84074655844156,91.81020121297084,0.9582562711862846,from premium,1.9033882041076489,1.2499999939728312,71.55097320357913,71.57921519055132,7030.09732096063,7032.921519657849
-40%,-0.4,1,2026-10-21,30,C,-200,33,17.84074655844156,91.81020121297084,1.020199490354396,from premium,1.9653314232757602,0.12999999952276503,61.587585893474895,61.92357050589041,-12291.517178790426,-12358.714101273528
-40%,-0.4,2,2026-12-16,100,C,-50,89,19.131337761904764,70.00102137234417,1.2929690937260165,from premium,1.9667848497773297,0.03999999868452922,9.286372637466862,18.429936322978246,-462.31863193911664,-919.4968162146859
-40%,-0.4,3,2026-11-18,16,P,-100,61,18.696715095238087,80.03840365296078,0.7323679843237623,from premium,1.5303935402739761,0.9799999931406893,6.967126755594027e-08,0.034017316615666975,97.99999234694218,94.59826765250223
-35%,-0.35,0,2026-10-21,20,C,100,33,17.84074655844156,81.0485703952926,0.9582562711862846,from premium,1.8927466927671313,1.2499999939728312,60.828192046894976,60.87843478120808,5957.819205292215,5962.843478723525
-35%,-0.35,1,2026-10-21,30,C,-200,33,17.84074655844156,81.0485703952926,1.020199490354396,from premium,1.9546899119352426,0.12999999952276503,50.86667162446202,51.38695052776184,-10147.33432498785,-10251.390105647815
-35%,-0.35,2,2026-12-16,100,C,-50,89,19.131337761904764,62.6001184268724,1.2929690937260165,from premium,1.9591981650408656,0.03999999868452922,6.555226424278628,14.49197870402051,-325.7613212797049,-722.5989352667991
-35%,-0.35,3,2026-11-18,16,P,-100,61,18.696715095238087,71.11395491835344,0.7323679843237623,from premium,1.521408341797592,0.9799999931406893,5.833931414452176e-07,0.054749816173622845,97.99994097475478,92.52501769670664
-30%,-0.3,0,2026-10-21,20,C,100,33,17.84074655844156,70.75917436307856,0.9582562711862846,from premium,1.8749748541352171,1.2499999939728312,50.57595140720681,50.664809960253585,4932.595141323398,4941.480996628075
-30%,-0.3,1,2026-10-21,30,C,-200,33,17.84074655844156,70.75917436307856,1.020199490354396,from premium,1.9369180733033287,0.12999999952276503,40.62274607475181,41.419457653497304,-8098.5492150458085,-8257.891530794908
-30%,-0.3,2,2026-12-16,100,C,-50,89,19.131337761904764,55.52397702302079,1.2929690937260165,from premium,1.9465280345891611,0.03999999868452922,4.407263447144804,11.02298838175442,-218.36317242301374,-549.1494191534946
-30%,-0.3,3,2026-11-18,16,P,-100,61,18.696715095238087,62.581122956795994,0.7323679843237623,from premium,1.5064026257589291,0.9799999931406893,4.923012018769727e-06,0.0873091841752909,97.99950701286704,89.26908089653985
-25%,-0.25,0,2026-10-21,20,C,100,33,17.84074655844156,60.92129082094605,0.9582562711862846,from premium,1.845295024057299,1.2499999939728312,40.77369632344391,40.92937766583813,3952.3696329471077,3967.9377671865304
-25%,-0.25,1,2026-10-21,30,C,-200,33,17.84074655844156,60.92129082094605,1.020199490354396,from premium,1.9072382432254105,0.12999999952276503,30.855785651874264,32.04888276325625,-6145.157130470299,-6383.776552746697
