scenario,pnl_vol_fixed,pnl_vol_shocked,vol_of_vol_effect
-40%,-5625.74,-6150.69,-524.95
-35%,-4417.28,-4918.62,-501.34
-30%,-3286.32,-3776.29,-489.97
-25%,-2232.16,-2729.74,-497.58
-20%,-1265.1,-1789.44,-524.34
-15%,-430.44,-974.26,-543.82
-10%,147.83,-323.42,-471.25
-5%,282.1,66.4,-215.7
+5%,-129.51,-118.96,10.55
+10%,-264.66,-237.08,27.59
+15%,-420.11,-392.89,27.22
+20%,-605.85,-597.13,8.72
+25%,-697.77,-694.34,3.43
+30%,-697.74,-694.34,3.4
+35%,-697.74,-694.34,3.4
+40%,-697.74,-694.34,3.4
