,T30,T60,T90,T120,T150,T180
base,17.75,18.68,19.15,19.8,20.27,20.48
-40%,91.7,78.67,67.81,59.28,52.3,46.45
-35%,81.42,70.34,61.05,53.79,47.85,42.84
-30%,71.46,62.25,54.49,48.47,43.53,39.34
-25%,61.8,54.42,48.14,43.32,39.35,35.95
-20%,52.43,46.82,41.97,38.32,35.29,32.66
-15%,43.35,39.45,36.0,33.47,31.36,29.47
-10%,34.55,32.31,30.21,28.77,27.55,26.38
-5%,26.02,25.39,24.59,24.22,23.85,23.38
+5%,15.02,16.47,17.35,18.34,19.08,19.51
+10%,12.3,14.25,15.55,16.87,17.89,18.54
+15%,9.58,12.04,13.74,15.41,16.7,17.57
+20%,9.0,9.82,11.94,13.95,15.51,16.6
+25%,9.0,9.0,10.14,12.48,14.32,15.63
+30%,9.0,9.0,9.0,11.02,13.13,14.67
+35%,9.0,9.0,9.0,9.55,11.94,13.7
+40%,9.0,9.0,9.0,9.0,10.75,12.73
