,T30,T60,T90,T120,T150
base,17.75,18.68,19.15,19.8,20.27
-40%,92.64,79.45,68.46,59.81,52.74
-35%,81.99,70.81,61.44,54.12,48.12
-30%,71.74,62.49,54.69,48.65,43.67
-25%,61.86,54.48,48.19,43.37,39.39
-20%,52.36,46.77,41.94,38.29,35.27
-15%,43.21,39.34,35.91,33.4,31.31
-10%,34.4,32.19,30.11,28.7,27.49
-5%,25.91,25.31,24.52,24.17,23.81
+5%,15.0,16.47,17.37,18.37,19.12
+10%,12.26,14.27,15.6,16.95,17.97
+15%,9.51,12.06,13.82,15.52,16.83
+20%,9.0,9.85,12.05,14.09,15.68
+25%,9.0,9.0,10.27,12.66,14.53
+30%,9.0,9.0,9.0,11.24,13.38
+35%,9.0,9.0,9.0,9.81,12.23
+40%,9.0,9.0,9.0,9.0,11.08
